"id","date_start","date_end","event_type","event_recurs","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"18",2022-06-03,2022-05-15,"Festa Major",true,"Festa Major de Porta 2022","festa-major-de-porta-2022","Porta Neighbourhood",41.4342962,2.177848,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"19",2022-06-03,2022-06-12,"Festa Major",true,"Festa Major de la Trinitat Vella 2022","festa-major-de-la-trinitat-vella-2022","Trinitat Vella Neighbourhood",41.4515122,2.1921596,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"20",2022-06-03,2022-10-07,"Sporting Festival / Event",true,"Massa Crítica BCN","massa-cr-tica-bcn","l'Arc de Triomf",41.3910524,2.1806449,1,true,"https://barcelona.bicicritica.com/en/when-where-critical-mass-barcelona/","Check website for other dates. 1st Friday of each month"
"21",2022-06-04,2022-05-15,"Festa Major",true,"Festa Major del Guinardó 2022","festa-major-del-guinard-2022","Guinardo Neighbourhood",41.4198364,2.172877,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"22",2022-06-07,2022-07-24,"Music Festival",true,"10th Festival Jardins Pedralbes","10th-festival-jardins-pedralbes","Jardins del Palau de Pedralbes Avinguda Diagonal 686, 08034 Barcelona",41.3873818,2.1187924,1,true,"https://festivalpedralbes.com/en/",""
"23",2022-06-08,2022-06-19,"Festa Major",true,"Festa Major de la Teixonera 2022","festa-major-de-la-teixonera-2022","Horta / Guinardo Neighbourhood",41.4198364,2.172877,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"24",2022-06-09,2022-06-19,"Festa Major",true,"Festa Major de la Vall d’Hebron 2022","festa-major-de-la-vall-d-hebron-2022","Vall d'Hebron - Various",41.4302194,2.1480621,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"25",2022-06-09,2022-06-19,"Festa Major",true,"Festa Major del Fort Pienc 2022","festa-major-del-fort-pienc-2022","Fort Pienc - Various",41.3991257,2.1812353,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"26",2022-06-10,2022-09-19,"Music Festival",true,"Mecal Air Barcelona (Open Air Cinema)","mecal-air-barcelona-open-air-cinema","Barcelona Design Museum, Plaça de Josep Antoni Coderch",41.4021668,2.1876385,1,true,"https://mecalbcn.org/en/mecal-air-barcelona/",""
"27",2022-06-12,2022-06-12,"Music Festival",false,"Brunch - On The Beach","brunch-on-the-beach","Parc del Forum",41.4114594,2.2246577,1,true,"https://onthebeach.brunch-in.com/en/",""
