"id","uuid","date_start","date_end","event_type","event_active","event_recurs","recurrence_rule","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"11","f02074de-c34d-46f6-a597-f8ae85fc1d1a",2022-05-07,2022-05-07,"Open Day / Weekend",true,true,"","Poblenou Open Day","poblenou-open-day-2022","Poblenou Neighbourhood",41.4033546,2.2028843,2,true,"https://www.poblenouurbandistrict.com/programacio-completa-del-poblenou-open-day/",""
"12","0de89df8-8800-4158-b105-5afd6ca6d3d4",2022-05-07,2022-05-15,"Local / Neighbourhood Festival",true,true,"","Girona Flower Festival","girona-flower-festival-2022","Girona - Various",41.9794005,2.8214264,3,false,"https://en.costabrava.org/events/event/flower-festival",""
"13","d15dcc48-92c0-4fac-b60a-9e4e38c86c45",2022-05-14,2022-05-14,"Open Day / Weekend",true,true,"","Night of the Museums","night-of-the-museums-2022","Barcelona - Various",41.3873974,2.168568,3,true,"https://www.barcelona.cat/lanitdelsmuseus/ca",""
"14","42874d35-234a-446a-913e-42f81a7c836c",2022-05-17,2022-05-22,"Festa Major",true,true,"","Festa Major de Nou Barris","festa-major-de-nou-barris-2022","Nou Barris",41.4458428,2.1793567,2,true,"https://www.noubarris.net/web40/?p=79048",""
"15","a996629b-ec97-4478-8d81-263531e00f9d",2022-05-20,2022-05-22,"Local / Neighbourhood Festival",true,true,"","Festes de Maig a Poblenou","festes-de-maig-a-poblenou-2022","Poblenou - Various",41.4033546,2.2028843,2,true,"https://www.femmaig.cat/",""
"16","dc5e8952-d25a-449b-81ee-1f77e4381329",2022-05-27,2022-05-29,"Festa Major",true,true,"","Festa Major de la Dreta de l’Eixample","festa-major-de-la-dreta-de-l-eixample-2022","Dreta de l'Eixample",41.3941343,2.1677158,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"17","41f4cbc2-d4a9-4f5c-a509-e5df8dc92d55",2022-06-02,2022-06-12,"Music / Film Festival",true,true,"","Primavera Sound","primavera-sound-2022","Parc del Forum",41.4114594,2.2246577,1,true,"https://www.primaverasound.com/en/barcelona",""
"18","37926821-2eef-43eb-8ab3-366466f4f664",2022-06-03,2022-06-15,"Festa Major",true,true,"","Festa Major de Porta","festa-major-de-porta-2022","Porta Neighbourhood",41.4342962,2.177848,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"19","faef36e7-6b1e-43ea-84e5-8b344c6b7f22",2022-06-03,2022-06-12,"Festa Major",true,true,"","Festa Major de la Trinitat Vella","festa-major-de-la-trinitat-vella-2022","Trinitat Vella Neighbourhood",41.4515122,2.1921596,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"20","7b3aa593-8042-4031-a10d-e178fa34510d",2022-06-03,2022-10-07,"Sporting Event / Festival",true,true,"","Massa Crítica BCN","massa-cr-tica-bcn-2022","l'Arc de Triomf",41.3910524,2.1806449,1,true,"https://barcelona.bicicritica.com/en/when-where-critical-mass-barcelona/","Check website for other dates. 1st Friday of each month"
"21","0e590ef9-5ad4-40d8-9e0a-56671eb079c5",2022-06-04,2022-06-15,"Festa Major",true,true,"","Festa Major del Guinardó","festa-major-del-guinard-2022","Guinardo Neighbourhood",41.4198364,2.172877,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"22","6944a169-f3a8-48ae-a090-c91ab5a5da72",2022-06-07,2022-07-24,"Music / Film Festival",true,true,"","10th Festival Jardins Pedralbes","10th-festival-jardins-pedralbes-2022","Jardins del Palau de Pedralbes Avinguda Diagonal 686, 08034 Barcelona",41.3873818,2.1187924,1,true,"https://festivalpedralbes.com/en/",""
"23","321b59db-23ac-4fcb-9e36-2689d89d823d",2022-06-08,2022-06-19,"Festa Major",true,true,"","Festa Major de la Teixonera","festa-major-de-la-teixonera-2022","Horta / Guinardo Neighbourhood",41.4198364,2.172877,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"24","7dcb9b90-4d27-446a-a950-78547339712e",2022-06-09,2022-06-19,"Festa Major",true,true,"","Festa Major de la Vall d’Hebron","festa-major-de-la-vall-d-hebron-2022","Vall d'Hebron - Various",41.4302194,2.1480621,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"25","e737852b-71c2-4271-881d-2a1caed896d8",2022-06-09,2022-06-19,"Festa Major",true,true,"","Festa Major del Fort Pienc","festa-major-del-fort-pienc-2022","Fort Pienc - Various",41.3991257,2.1812353,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"26","c35208de-cc75-4f61-8b11-6e0e149a34be",2022-06-10,2022-09-19,"Music / Film Festival",true,true,"","Mecal Air Barcelona (Open Air Cinema)","mecal-air-barcelona-open-air-cinema-2022","Barcelona Design Museum, Plaça de Josep Antoni Coderch",41.4021668,2.1876385,1,true,"https://mecalbcn.org/en/mecal-air-barcelona/",""
